Canton;Month;January_17;January_17;January_17;January_17;Feb_17;Feb_17;Feb_17;Feb_17;Mar_17;Mar_17;Mar_17;Mar_17;Apr_17;Apr_17;Apr_17;Apr_17;May_17;May_17;May_17;May_17;June_17;June_17;June_17;June_17;July_17;July_17;July_17;July_17;Aug_17;Aug_17;Aug_17;Aug_17;Sept_17;Sept_17;Sept_17;Sept_17;Total;Total;Total;Total
 ;Mesures;Unemployment rate;Job seekers;Unemployed;Demandeurs d'emploi non chômeurs;Unemployment rate;Job seekers;Unemployed;Demandeurs d'emploi non chômeurs;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Job seekers;Unemployed;Job seekers not unemployed;Unemployment rate;Demandeurs d'emploi;Unemployed;Job seekers not unemployed
Zurich;;3.9;39'340;32'387;6'953;3.9;38'748;31'619;7'129;3.8;38'051;30'841;7'210;3.6;36'610;29'542;7'068;3.5;35'784;28'624;7'160;3.4;35'134;27'925;7'209;3.4;35'112;27'992;7'120;3.4;34'542;27'514;7'028;3.3;34'156;27'225;6'931;3.2;327'477;263'669;63'808
Berne;;3;21'586;16'954;4'632;3;21'367;16'738;4'629;2.9;20'889;16'035;4'854;2.7;19'882;15'322;4'560;2.6;19'019;14'397;4'622;2.4;18'230;13'590;4'640;2.4;18'442;13'633;4'809;2.5;18'393;13'829;4'564;2.4;18'385;13'658;4'727;2.4;176'193;134'156;42'037
Lucerne;;2.2;7'950;4'985;2'965;2.2;7'857;4'808;3'049;2;7'574;4'493;3'081;1.9;7'303;4'315;2'988;1.8;7'091;4'082;3'009;1.7;6'914;3'884;3'030;1.7;6'805;3'875;2'930;1.8;6'853;3'992;2'861;1.7;6'756;3'885;2'871;1.7;65'103;38'319;26'784
Uri;;1.5;464;297;167;1.4;457;276;181;1.3;431;256;175;1.2;394;228;166;1;359;196;163;0.8;294;159;135;0.7;265;129;136;0.6;267;123;144;0.6;257;112;145;0.9;3'188;1'776;1'412
Schwyz;;2;2'581;1'794;787;2;2'568;1'766;802;1.9;2'488;1'670;818;1.8;2'389;1'580;809;1.7;2'262;1'462;800;1.6;2'240;1'411;829;1.7;2'232;1'447;785;1.7;2'240;1'466;774;1.7;2'229;1'455;774;1.6;21'229;14'051;7'178
Obwald;;1;378;217;161;1.1;403;228;175;1;376;217;159;1;364;205;159;0.8;339;174;165;0.8;322;167;155;0.8;310;176;134;0.8;322;164;158;0.7;319;153;166;0.8;3'133;1'701;1'432
Nidwald;;1.3;535;305;230;1.3;551;306;245;1.2;549;297;252;1.1;503;269;234;1.1;476;256;220;1;449;252;197;1;434;241;193;1;425;247;178;1;436;248;188;1;4'358;2'421;1'937
Glaris;;2.5;876;567;309;2.6;891;576;315;2.4;866;551;315;2.3;807;517;290;2.1;757;484;273;2;735;441;294;1.8;705;415;290;1.9;730;435;295;1.8;713;416;297;2;7'080;4'402;2'678
Zoug;;2.6;2'831;1'756;1'075;2.6;2'879;1'784;1'095;2.5;2'867;1'729;1'138;2.5;2'801;1'704;1'097;2.4;2'747;1'652;1'095;2.3;2'704;1'576;1'128;2.3;2'707;1'574;1'133;2.4;2'663;1'604;1'059;2.3;2'615;1'543;1'072;2.2;24'814;14'922;9'892
Fribourg;;3.2;9'197;5'215;3'982;2.9;8'941;4'811;4'130;2.7;8'622;4'499;4'123;2.7;8'217;4'362;3'855;2.4;7'975;3'981;3'994;2.4;7'849;3'892;3'957;2.7;7'755;4'372;3'383;2.8;7'889;4'667;3'222;2.7;7'837;4'466;3'371;2.5;74'282;40'265;34'017
Soleure;;3.2;7'309;4'744;2'565;3.2;7'260;4'602;2'658;3;7'177;4'420;2'757;2.9;6'920;4'281;2'639;2.8;6'806;4'074;2'732;2.6;6'670;3'860;2'810;2.7;6'746;3'900;2'846;2.7;6'657;3'953;2'704;2.6;6'628;3'801;2'827;2.6;62'173;37'635;24'538
Bâle-Ville;;4.2;5'954;4'181;1'773;4.1;5'901;4'075;1'826;4;5'814;3'992;1'822;3.9;5'608;3'863;1'745;3.7;5'454;3'652;1'802;3.6;5'380;3'581;1'799;3.5;5'301;3'514;1'787;3.7;5'373;3'626;1'747;3.5;5'168;3'455;1'713;3.4;49'953;33'939;16'014
Bâle-Campagne;;3.1;6'111;4'659;1'452;3.1;6'129;4'656;1'473;3.1;6'017;4'536;1'481;2.9;5'820;4'345;1'475;2.9;5'698;4'227;1'471;2.8;5'662;4'177;1'485;2.8;5'643;4'151;1'492;2.8;5'665;4'170;1'495;2.8;5'540;4'082;1'458;2.6;52'285;39'003;13'282
Schaffhouse;;3.6;2'653;1'587;1'066;3.7;2'676;1'608;1'068;3.5;2'690;1'520;1'170;3.3;2'594;1'436;1'158;3.3;2'595;1'441;1'154;3.2;2'507;1'389;1'118;3;2'365;1'322;1'043;3;2'402;1'309;1'093;3;2'328;1'286;1'042;3;22'810;12'898;9'912
Appenzell Rhodes-Extérieures;;2;978;610;368;1.9;955;592;363;1.8;944;551;393;1.8;940;539;401;1.7;915;534;381;1.7;919;524;395;1.8;915;543;372;1.7;895;519;376;1.7;866;523;343;1.6;8'327;4'935;3'392
Appenzell Rhodes-Intérieures;;1.4;171;129;42;1.3;161;118;43;1.1;133;98;35;1;118;86;32;0.8;108;72;36;0.9;110;77;33;0.8;103;68;35;0.7;106;67;39;0.7;102;62;40;0.9;1'112;777;335
St-Gall;;2.7;11'939;7'597;4'342;2.6;11'693;7'334;4'359;2.5;11'436;6'983;4'453;2.4;11'012;6'685;4'327;2.3;10'752;6'383;4'369;2.2;10'609;6'060;4'549;2.2;10'608;6'054;4'554;2.3;10'524;6'321;4'203;2.2;10'363;6'127;4'236;2.1;98'936;59'544;39'392
Grisons;;1.9;3'860;2'117;1'743;1.7;3'751;1'882;1'869;1.5;3'595;1'668;1'927;2;3'719;2'213;1'506;1.8;3'390;1'989;1'401;1.2;2'671;1'273;1'398;1;2'430;1'084;1'346;0.9;2'389;1'046;1'343;1.1;2'590;1'166;1'424;1.3;28'395;14'438;13'957
Argovie;;3.5;17'038;12'622;4'416;3.4;16'970;12'551;4'419;3.3;16'632;12'098;4'534;3.2;16'139;11'628;4'511;3.1;15'823;11'306;4'517;3;15'613;11'030;4'583;2.9;15'305;10'719;4'586;3;15'340;10'884;4'456;2.9;15'145;10'684;4'461;2.8;144'005;103'522;40'483
Thurgovie;;2.6;6'374;3'967;2'407;2.6;6'408;3'936;2'472;2.5;6'368;3'721;2'647;2.3;6'013;3'422;2'591;2.2;5'939;3'262;2'677;2.1;5'798;3'090;2'708;2.1;5'689;3'126;2'563;2.1;5'621;3'224;2'397;2;5'618;3'058;2'560;2.1;53'828;30'806;23'022
Tessin;;4;10'419;6'757;3'662;4;10'300;6'623;3'677;3.6;9'754;6'106;3'648;3.3;9'002;5'566;3'436;3.1;8'758;5'274;3'484;3;8'455;5'091;3'364;3;8'295;4'982;3'313;3.1;8'507;5'152;3'355;3.1;8'675;5'202;3'473;3;82'165;50'753;31'412
Vaud;;5.2;28'019;20'672;7'347;5;27'491;19'987;7'504;4.8;26'664;19'027;7'637;4.6;25'786;18'353;7'433;4.4;25'292;17'614;7'678;4.2;24'718;16'753;7'965;4.3;24'591;17'105;7'486;4.4;24'855;17'498;7'357;4.3;24'649;17'155;7'494;4.1;232'065;164'164;67'901
Valais;;5.2;12'989;9'059;3'930;4.6;12'313;8'033;4'280;3.9;10'938;6'771;4'167;3.7;9'917;6'405;3'512;3.3;8'892;5'687;3'205;2.9;8'121;5'039;3'082;2.9;7'999;5'005;2'994;2.9;8'172;5'063;3'109;2.8;8'027;4'816;3'211;3.2;87'368;55'878;31'490
Neuchâtel;;6.6;7'712;6'052;1'660;6.5;7'671;6'014;1'657;6.2;7'380;5'707;1'673;5.9;7'078;5'414;1'664;5.6;6'902;5'136;1'766;5.2;6'612;4'772;1'840;5.3;6'505;4'852;1'653;5.3;6'470;4'864;1'606;5.1;6'350;4'738;1'612;5.1;62'680;47'549;15'131
Genève;;5.7;16'984;13'306;3'678;5.5;16'669;12'971;3'698;5.4;16'444;12'712;3'732;5.3;15'960;12'329;3'631;5.2;15'895;12'204;3'691;5.1;15'761;12'010;3'751;5.1;15'547;12'044;3'503;5.2;15'603;12'130;3'473;5.2;15'497;12'234;3'263;4.8;144'360;111'940;32'420
Jura;;5.3;2'613;1'930;683;5.2;2'617;1'915;702;4.9;2'549;1'782;767;4.7;2'461;1'718;743;4.4;2'391;1'615;776;4.3;2'419;1'580;839;4.4;2'414;1'603;811;4.7;2'431;1'711;720;4.4;2'375;1'619;756;4.2;22'270;15'473;6'797
Total;;3.7;226'861;164'466;62'395;3.6;223'627;159'809;63'818;3.4;217'248;152'280;64'968;3.3;208'357;146'327;62'030;3.1;202'419;139'778;62'641;3;196'896;133'603;63'293;3;195'223;133'926;61'297;3;195'334;135'578;59'756;3;193'624;133'169;60'455;2.9;1'859'589;1'298'936;560'653
