asin,reviewTime,Number_of_reviews
0002007770,2006-05-25,1
0002007770,2006-05-27,1
0002007770,2006-05-31,1
0002007770,2006-06-08,1
0002007770,2006-06-09,1
0002007770,2006-06-11,1
0002007770,2006-06-12,1
0002007770,2006-06-14,1
0002007770,2006-06-15,1
0002007770,2006-06-21,1
0002007770,2006-06-24,1
0002007770,2006-06-25,2
0002007770,2006-06-27,1
0002007770,2006-06-28,1
0002007770,2006-06-29,1
0002007770,2006-07-02,4
0002007770,2006-07-06,2
0002007770,2006-07-10,2
0002007770,2006-07-13,2
0002007770,2006-07-16,1
0002007770,2006-07-20,1
0002007770,2006-07-23,1
0002007770,2006-07-25,1
0002007770,2006-07-28,1
0002007770,2006-08-01,2
0002007770,2006-08-03,1
0002007770,2006-08-05,1
0002007770,2006-08-06,1
0002007770,2006-08-08,3
0002007770,2006-08-09,3
0002007770,2006-08-10,1
0002007770,2006-08-12,1
0002007770,2006-08-13,2
0002007770,2006-08-14,3
0002007770,2006-08-15,3
0002007770,2006-08-16,1
0002007770,2006-08-18,2
0002007770,2006-08-21,1
0002007770,2006-08-22,1
0002007770,2006-08-23,1
0002007770,2006-08-24,2
0002007770,2006-08-25,1
0002007770,2006-08-28,1
0002007770,2006-08-29,1
0002007770,2006-08-30,1
0002007770,2006-09-03,2
0002007770,2006-09-06,3
0002007770,2006-09-14,1
0002007770,2006-09-15,2
0002007770,2006-09-18,1
0002007770,2006-09-20,2
0002007770,2006-09-21,3
0002007770,2006-09-25,1
0002007770,2006-09-26,1
0002007770,2006-09-27,3
0002007770,2006-09-29,1
0002007770,2006-09-30,1
0002007770,2006-10-03,1
0002007770,2006-10-04,1
0002007770,2006-10-06,1
0002007770,2006-10-07,1
0002007770,2006-10-08,2
0002007770,2006-10-11,1
0002007770,2006-10-14,1
0002007770,2006-10-15,1
0002007770,2006-10-16,1
0002007770,2006-10-21,1
0002007770,2006-10-26,1
0002007770,2006-11-02,1
0002007770,2006-11-03,3
0002007770,2006-11-04,1
0002007770,2006-11-05,2
0002007770,2006-11-07,1
0002007770,2006-11-08,1
0002007770,2006-11-09,2
0002007770,2006-11-10,1
0002007770,2006-11-11,2
0002007770,2006-11-13,2
0002007770,2006-11-16,1
0002007770,2006-11-20,1
0002007770,2006-11-21,1
0002007770,2006-11-22,2
0002007770,2006-11-27,2
0002007770,2006-11-29,1
0002007770,2006-12-05,1
0002007770,2006-12-09,1
0002007770,2006-12-30,2
0002007770,2007-01-01,1
0002007770,2007-01-03,1
0002007770,2007-01-04,3
0002007770,2007-01-08,1
0002007770,2007-01-09,1
0002007770,2007-01-10,3
0002007770,2007-01-11,1
0002007770,2007-01-14,1
0002007770,2007-01-15,3
0002007770,2007-01-22,1
0002007770,2007-01-27,1
0002007770,2007-01-28,1
0002007770,2007-01-30,1
0002007770,2007-01-31,1
0002007770,2007-02-01,1
0002007770,2007-02-02,1
0002007770,2007-02-03,1
0002007770,2007-02-06,1
0002007770,2007-02-08,1
0002007770,2007-02-12,1
0002007770,2007-02-16,1
0002007770,2007-02-18,1
0002007770,2007-02-20,1
0002007770,2007-02-26,1
0002007770,2007-02-27,2
0002007770,2007-02-28,1
0002007770,2007-03-01,1
0002007770,2007-03-05,1
0002007770,2007-03-07,1
0002007770,2007-03-08,2
0002007770,2007-03-12,1
0002007770,2007-03-16,2
0002007770,2007-03-18,2
0002007770,2007-03-19,1
0002007770,2007-03-20,1
0002007770,2007-03-24,1
0002007770,2007-03-25,1
0002007770,2007-03-26,1
0002007770,2007-03-28,1
0002007770,2007-03-30,1
0002007770,2007-04-05,1
0002007770,2007-04-08,1
0002007770,2007-04-09,3
0002007770,2007-04-10,1
0002007770,2007-04-18,2
0002007770,2007-04-20,1
0002007770,2007-04-23,1
0002007770,2007-04-26,2
0002007770,2007-04-27,1
0002007770,2007-04-30,2
0002007770,2007-05-01,1
0002007770,2007-05-06,4
0002007770,2007-05-11,1
0002007770,2007-05-12,1
0002007770,2007-05-14,2
0002007770,2007-05-16,1
0002007770,2007-05-17,1
0002007770,2007-05-20,1
0002007770,2007-05-21,1
0002007770,2007-05-23,2
0002007770,2007-05-24,1
0002007770,2007-05-25,2
0002007770,2007-05-26,2
0002007770,2007-05-27,1
0002007770,2007-05-28,2
0002007770,2007-05-30,2
0002007770,2007-05-31,2
0002007770,2007-06-01,2
0002007770,2007-06-02,3
0002007770,2007-06-03,1
0002007770,2007-06-04,1
0002007770,2007-06-07,1
0002007770,2007-06-09,2
0002007770,2007-06-10,2
0002007770,2007-06-13,3
0002007770,2007-06-14,1
0002007770,2007-06-18,2
0002007770,2007-06-20,1
0002007770,2007-06-21,1
0002007770,2007-06-22,1
0002007770,2007-06-23,1
0002007770,2007-06-25,2
0002007770,2007-06-26,5
0002007770,2007-06-28,2
0002007770,2007-06-29,3
0002007770,2007-07-01,2
0002007770,2007-07-02,1
0002007770,2007-07-04,2
0002007770,2007-07-07,1
0002007770,2007-07-08,1
0002007770,2007-07-09,4
0002007770,2007-07-10,2
0002007770,2007-07-11,1
0002007770,2007-07-13,4
0002007770,2007-07-14,1
