Date,Number of reviews
1996-05-01,1
1996-06-01,1
1996-08-01,1
1996-09-01,1
1996-11-01,6
1996-12-01,15
1997-01-01,5
1997-02-01,2
1997-03-01,4
1997-04-01,9
1997-05-01,13
1997-06-01,22
1997-07-01,22
1997-08-01,294
1997-09-01,266
1997-10-01,501
1997-11-01,423
1997-12-01,480
1998-01-01,599
1998-02-01,564
1998-03-01,718
1998-04-01,817
1998-05-01,837
1998-06-01,929
1998-07-01,1039
1998-08-01,836
1998-09-01,778
1998-10-01,930
1998-11-01,836
1998-12-01,848
1999-01-01,1044
1999-02-01,943
1999-03-01,1018
1999-04-01,1124
1999-05-01,1162
1999-06-01,1412
1999-07-01,1231
1999-08-01,1278
1999-09-01,1223
1999-10-01,2050
1999-11-01,2457
1999-12-01,4632
2000-01-01,5714
2000-02-01,4894
2000-03-01,5766
2000-04-01,6541
2000-05-01,9212
2000-06-01,9320
2000-07-01,9687
2000-08-01,8962
2000-09-01,6808
2000-10-01,7337
2000-11-01,6681
2000-12-01,6933
2001-01-01,8134
2001-02-01,7133
2001-03-01,7463
2001-04-01,7147
2001-05-01,8010
2001-06-01,8607
2001-07-01,9729
2001-08-01,9846
2001-09-01,7379
2001-10-01,7485
2001-11-01,8186
2001-12-01,7949
2002-01-01,9115
2002-02-01,7570
2002-03-01,8841
2002-04-01,8782
2002-05-01,8416
2002-06-01,8334
2002-07-01,9468
2002-08-01,8730
2002-09-01,7905
2002-10-01,8239
2002-11-01,7514
2002-12-01,8114
2003-01-01,9325
2003-02-01,7910
2003-03-01,8576
2003-04-01,8350
2003-05-01,8746
2003-06-01,9263
2003-07-01,10017
2003-08-01,8355
2003-09-01,8509
2003-10-01,8709
2003-11-01,8262
2003-12-01,8307
2004-01-01,10019
2004-02-01,8946
2004-03-01,9758
2004-04-01,9369
2004-05-01,9096
2004-06-01,10209
2004-07-01,10877
2004-08-01,11498
2004-09-01,10881
2004-10-01,11297
2004-11-01,10429
2004-12-01,10455
2005-01-01,12986
2005-02-01,10915
2005-03-01,12936
2005-04-01,12617
2005-05-01,12706
2005-06-01,12957
2005-07-01,14857
2005-08-01,16512
2005-09-01,14763
2005-10-01,14760
2005-11-01,13416
2005-12-01,14081
2006-01-01,16790
2006-02-01,15338
2006-03-01,17682
2006-04-01,14228
2006-05-01,15142
2006-06-01,16274
2006-07-01,17776
2006-08-01,17578
2006-09-01,13840
2006-10-01,13867
2006-11-01,16167
2006-12-01,14596
2007-01-01,24313
2007-02-01,16908
2007-03-01,20017
2007-04-01,16903
2007-05-01,20953
2007-06-01,19123
2007-07-01,20540
2007-08-01,21138
2007-09-01,20430
2007-10-01,19501
2007-11-01,18926
2007-12-01,19203
2008-01-01,22729
2008-02-01,20566
2008-03-01,20742
2008-04-01,21102
2008-05-01,22096
2008-06-01,22733
2008-07-01,24079
2008-08-01,24921
2008-09-01,23401
2008-10-01,23861
2008-11-01,23775
2008-12-01,24600
2009-01-01,28999
2009-02-01,24764
2009-03-01,27178
2009-04-01,26737
2009-05-01,29590
2009-06-01,29423
2009-07-01,29501
2009-08-01,29982
2009-09-01,31394
2009-10-01,31529
2009-11-01,29677
2009-12-01,30252
2010-01-01,33773
2010-02-01,32158
2010-03-01,34468
2010-04-01,32336
2010-05-01,34495
2010-06-01,33066
2010-07-01,35381
2010-08-01,34683
2010-09-01,35151
2010-10-01,35591
2010-11-01,35241
2010-12-01,36838
2011-01-01,45504
2011-02-01,39445
2011-03-01,44534
2011-04-01,45795
2011-05-01,46748
2011-06-01,48712
2011-07-01,50878
2011-08-01,53283
2011-09-01,53528
2011-10-01,55002
2011-11-01,52844
2011-12-01,57226
2012-01-01,69108
2012-02-01,63211
2012-03-01,74492
2012-04-01,71650
2012-05-01,75958
2012-06-01,76018
2012-07-01,82041
2012-08-01,87068
2012-09-01,111207
2012-10-01,117751
2012-11-01,139607
2012-12-01,207799
2013-01-01,264316
2013-02-01,231363
2013-03-01,257610
2013-04-01,247937
2013-05-01,246395
2013-06-01,240645
2013-07-01,254603
2013-08-01,255532
2013-09-01,238994
2013-10-01,243561
2013-11-01,239918
2013-12-01,261607
2014-01-01,324566
2014-02-01,275613
2014-03-01,313520
2014-04-01,303157
2014-05-01,303092
2014-06-01,292696
2014-07-01,161471
